R2 p
ENSG00000134184 0.743549452480516 6.88338275267597e-15
ENSG00000180611 0.696505558904462 3.13304937549219e-13
ENSG00000075234 0.663955399173614 3.1712410475393e-12
ENSG00000187624 0.617669581991335 5.98228133696921e-11
ENSG00000115138 0.616674453408016 6.34738928084744e-11
ENSG00000184674 0.615180572183999 6.93578527943828e-11
ENSG00000166750 0.602245261801893 1.47390544213977e-10
ENSG00000100321 0.57862568506331 5.49865930565829e-10
ENSG00000122386 0.569272931365681 9.07963038088155e-10
ENSG00000077420 0.565963618887788 1.08152153899255e-09
ENSG00000197888 0.564944288412558 1.14109255378025e-09
ENSG00000188171 0.56134978444195 1.37724986970511e-09
ENSG00000164978 0.547824383601651 2.75854405984433e-09
ENSG00000164904 0.54690091581657 2.89038681877685e-09
ENSG00000148411 0.541893111268496 3.71720076941529e-09
ENSG00000204482 0.527557652235209 7.5284543044063e-09
ENSG00000174652 0.526207491181877 8.0372375421689e-09
ENSG00000116962 0.514732254954975 1.39117983799508e-08
ENSG00000116985 0.514622414901794 1.39842009083679e-08
ENSG00000085871 0.51225388749863 1.56361790182302e-08
ENSG00000130590 0.510461593837014 1.70088612083674e-08
ENSG00000036448 0.509714961286425 1.76141194963009e-08
ENSG00000145945 0.507489578258948 1.9542992113486e-08
ENSG00000166352 0.506661667977356 2.03109735696927e-08
ENSG00000133065 0.503094126464585 2.39637982790697e-08
ENSG00000119411 0.50036639424916 2.7173083783083e-08
ENSG00000123119 0.496868228033179 3.18949002764413e-08
ENSG00000133812 0.494921607732642 3.4853037789162e-08
ENSG00000173212 0.493588726599338 3.70282622341733e-08
ENSG00000122378 0.493445445483542 3.72696891126623e-08
ENSG00000163814 0.49283000907056 3.83239533441326e-08
ENSG00000143162 0.490932121307152 4.17580854339406e-08
ENSG00000164308 0.490853731381015 4.19060870449073e-08
ENSG00000204161 0.489711932017564 4.41196479350481e-08
ENSG00000153208 0.487640925843434 4.8423647536211e-08
ENSG00000071282 0.485383654105483 5.35723665429089e-08
ENSG00000162076 0.483142723367763 5.92003779331662e-08
ENSG00000121743 0.483070292961976 5.93914188939948e-08
ENSG00000217442 0.482075357844867 6.20761866354513e-08
ENSG00000100918 0.47622733033602 8.03670936466716e-08
ENSG00000090376 0.473782554510764 8.94560390207744e-08
ENSG00000160117 0.473188743657403 9.18079927636484e-08
ENSG00000140398 0.472406435408966 9.49971536989835e-08
ENSG00000197937 0.471694112881855 9.79931544797807e-08
ENSG00000180543 0.471673603676703 9.80807426387287e-08
ENSG00000179750 0.471363484882673 9.94143409815962e-08
ENSG00000177335 0.469748890258493 1.06643158970243e-07
ENSG00000170608 0.465563559093035 1.27803536642546e-07
ENSG00000197134 0.463144954902743 1.41808617293293e-07
ENSG00000139044 0.462631690213161 1.44964374060308e-07
ENSG00000153574 0.462503945820213 1.45760198577705e-07
ENSG00000114993 0.462396714785358 1.46431460290586e-07
ENSG00000002822 0.460378298531522 1.59633569474238e-07
ENSG00000186111 0.459475545741988 1.65900879478542e-07
ENSG00000166342 0.457795566401583 1.78197461897511e-07
ENSG00000134202 0.457407517319875 1.81159547585352e-07
ENSG00000167383 0.457343856746445 1.81649971509046e-07
ENSG00000164440 0.457081061292173 1.83687983934533e-07
ENSG00000120915 0.456534843665565 1.87994334321928e-07
ENSG00000162882 0.454987557918239 2.0072491579981e-07
ENSG00000132329 0.454469934091993 2.05165298750032e-07
ENSG00000125430 0.453349298988142 2.15103466150168e-07
ENSG00000064201 0.451791232885669 2.29690784170344e-07
ENSG00000105559 0.450920341241798 2.38252917394988e-07
ENSG00000164691 0.448184857465849 2.67182829638557e-07
ENSG00000139679 0.445504312688435 2.98780988172709e-07
ENSG00000068097 0.444682960745697 3.09159847056151e-07
ENSG00000188042 0.444612196186332 3.10070050080213e-07
ENSG00000147813 0.443560060839297 3.23909972177461e-07
ENSG00000167766 0.441148579103819 3.5790110830547e-07
ENSG00000163527 0.440352510694138 3.69854597392916e-07
ENSG00000091972 0.439711655956069 3.7975470545959e-07
ENSG00000013583 0.439646941647936 3.80768440777501e-07
ENSG00000138639 0.439040879757024 3.90389082838283e-07
ENSG00000183386 0.438955708013786 3.91759642504041e-07
ENSG00000157978 0.438907013033376 3.92545300709202e-07
ENSG00000170074 0.438474680884476 3.99587247290611e-07
